Organism_Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP,species
Mycobacterium tuberculosis M1410,M1410,20829,SAMN02599021,PRJNA235686,Terrabacteria group,Actinobacteria,GCA_000662845.1,4.42786,65.5,-,JKNR01,6,4295,4100,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/662/845/GCF_000662845.1_Myco_tube_M1410_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/662/845/GCA_000662845.1_Myco_tube_M1410_V1,mtb
Mycobacterium tuberculosis M1415,M1415,20829,SAMN02599022,PRJNA235687,Terrabacteria group,Actinobacteria,GCA_000662865.1,4.42673,65.6,-,JKNQ01,7,4290,4107,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/662/865/GCF_000662865.1_Myco_tube_M1415_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/662/865/GCA_000662865.1_Myco_tube_M1415_V1,mtb
Mycobacterium tuberculosis M1416,M1416,20829,SAMN02599023,PRJNA235688,Terrabacteria group,Actinobacteria,GCA_000662885.1,4.42764,65.5,-,JKNP01,4,4279,4099,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/662/885/GCF_000662885.1_Myco_tube_M1416_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/662/885/GCA_000662885.1_Myco_tube_M1416_V1,mtb
Mycobacterium tuberculosis M1417,M1417,20829,SAMN02599024,PRJNA235689,Terrabacteria group,Actinobacteria,GCA_000662905.1,4.4225699999999994,65.6,-,JKNO01,5,4279,4095,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/662/905/GCF_000662905.1_Myco_tube_M1417_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/662/905/GCA_000662905.1_Myco_tube_M1417_V1,mtb
Mycobacterium tuberculosis M1418,M1418,20829,SAMN02599025,PRJNA235690,Terrabacteria group,Actinobacteria,GCA_000662925.1,4.4238599999999995,65.5,-,JKNN01,6,4283,4101,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/662/925/GCF_000662925.1_Myco_tube_M1418_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/662/925/GCA_000662925.1_Myco_tube_M1418_V1,mtb
Mycobacterium tuberculosis M1422,M1422,20829,SAMN02599026,PRJNA235691,Terrabacteria group,Actinobacteria,GCA_000662945.1,4.42451,65.5,-,JKNM01,7,4282,4093,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/662/945/GCF_000662945.1_Myco_tube_M1422_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/662/945/GCA_000662945.1_Myco_tube_M1422_V1,mtb
Mycobacterium tuberculosis M1424,M1424,20829,SAMN02599027,PRJNA235692,Terrabacteria group,Actinobacteria,GCA_000662965.1,4.42017,65.6,-,JKNL01,10,4285,4098,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/662/965/GCF_000662965.1_Myco_tube_M1424_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/662/965/GCA_000662965.1_Myco_tube_M1424_V1,mtb
Mycobacterium tuberculosis M1425,M1425,20829,SAMN02599028,PRJNA235693,Terrabacteria group,Actinobacteria,GCA_000662985.1,4.417,65.5,-,JKNK01,3,4284,4091,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/662/985/GCF_000662985.1_Myco_tube_M1425_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/662/985/GCA_000662985.1_Myco_tube_M1425_V1,mtb
Mycobacterium tuberculosis M1429,M1429,20829,SAMN02599029,PRJNA235694,Terrabacteria group,Actinobacteria,GCA_000663005.1,4.42695,65.6,-,JKNJ01,76,4325,4113,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/005/GCF_000663005.1_Myco_tube_M1429_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/005/GCA_000663005.1_Myco_tube_M1429_V1,mtb
Mycobacterium tuberculosis M1431,M1431,20829,SAMN02599030,PRJNA235695,Terrabacteria group,Actinobacteria,GCA_000663025.1,4.42859,65.5,-,JKNI01,6,4291,4106,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/025/GCF_000663025.1_Myco_tube_M1431_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/025/GCA_000663025.1_Myco_tube_M1431_V1,mtb
Mycobacterium tuberculosis M1438,M1438,20829,SAMN02599031,PRJNA235696,Terrabacteria group,Actinobacteria,GCA_000663045.1,4.42572,65.6,-,JKNH01,6,4291,4111,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/045/GCF_000663045.1_Myco_tube_M1438_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/045/GCA_000663045.1_Myco_tube_M1438_V1,mtb
Mycobacterium tuberculosis M1439,M1439,20829,SAMN02599032,PRJNA235697,Terrabacteria group,Actinobacteria,GCA_000663065.1,4.4305699999999995,65.5,-,JKNG01,7,4283,4097,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/065/GCF_000663065.1_Myco_tube_M1439_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/065/GCA_000663065.1_Myco_tube_M1439_V1,mtb
Mycobacterium tuberculosis M1441,M1441,20829,SAMN02599033,PRJNA235698,Terrabacteria group,Actinobacteria,GCA_000663085.1,4.43626,65.5,-,JKNF01,10,4296,4109,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/085/GCF_000663085.1_Myco_tube_M1441_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/085/GCA_000663085.1_Myco_tube_M1441_V1,mtb
Mycobacterium tuberculosis M1444,M1444,20829,SAMN02599034,PRJNA235699,Terrabacteria group,Actinobacteria,GCA_000663105.1,4.42298,65.5,-,JKNE01,8,4279,4101,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/105/GCF_000663105.1_Myco_tube_M1444_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/105/GCA_000663105.1_Myco_tube_M1444_V1,mtb
Mycobacterium tuberculosis M1448,M1448,20829,SAMN02599035,PRJNA235700,Terrabacteria group,Actinobacteria,GCA_000663125.1,4.42061,65.6,-,JKND01,6,4275,4091,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/125/GCF_000663125.1_Myco_tube_M1448_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/125/GCA_000663125.1_Myco_tube_M1448_V1,mtb
Mycobacterium tuberculosis M1449,M1449,20829,SAMN02599036,PRJNA235701,Terrabacteria group,Actinobacteria,GCA_000663145.1,4.429180000000001,65.5,-,JKNC01,11,4286,4099,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/145/GCF_000663145.1_Myco_tube_M1449_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/145/GCA_000663145.1_Myco_tube_M1449_V1,mtb
Mycobacterium tuberculosis M1700,M1700,20829,SAMN02599037,PRJNA235702,Terrabacteria group,Actinobacteria,GCA_000663165.1,4.40182,65.5,-,JKNB01,12,4285,4091,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/165/GCF_000663165.1_Myco_tube_M1700_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/165/GCA_000663165.1_Myco_tube_M1700_V1,mtb
Mycobacterium tuberculosis M1452,M1452,20829,SAMN02599038,PRJNA235703,Terrabacteria group,Actinobacteria,GCA_000663185.1,4.41215,65.6,-,JKNA01,7,4275,4089,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/185/GCF_000663185.1_Myco_tube_M1452_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/185/GCA_000663185.1_Myco_tube_M1452_V1,mtb
Mycobacterium tuberculosis M1456,M1456,20829,SAMN02599039,PRJNA235704,Terrabacteria group,Actinobacteria,GCA_000663205.1,4.410419999999999,65.6,-,JKMZ01,5,4266,4071,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/205/GCF_000663205.1_Myco_tube_M1456_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/205/GCA_000663205.1_Myco_tube_M1456_V1,mtb
Mycobacterium tuberculosis M1458,M1458,20829,SAMN02599040,PRJNA235705,Terrabacteria group,Actinobacteria,GCA_000663225.1,4.44341,65.5,-,JKMY01,7,4294,4106,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/225/GCF_000663225.1_Myco_tube_M1458_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/225/GCA_000663225.1_Myco_tube_M1458_V1,mtb
Mycobacterium tuberculosis M1459,M1459,20829,SAMN02599041,PRJNA235706,Terrabacteria group,Actinobacteria,GCA_000663245.1,4.43302,65.6,-,JKMX01,8,4302,4098,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/245/GCF_000663245.1_Myco_tube_M1459_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/245/GCA_000663245.1_Myco_tube_M1459_V1,mtb
Mycobacterium tuberculosis M1461,M1461,20829,SAMN02599042,PRJNA235707,Terrabacteria group,Actinobacteria,GCA_000663265.1,4.4498,65.4,-,JKMW01,6,4290,4087,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/265/GCF_000663265.1_Myco_tube_M1461_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/265/GCA_000663265.1_Myco_tube_M1461_V1,mtb
Mycobacterium tuberculosis M1475,M1475,20829,SAMN02599043,PRJNA235708,Terrabacteria group,Actinobacteria,GCA_000663285.1,4.42364,65.5,-,JKMV01,8,4286,4105,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/285/GCF_000663285.1_Myco_tube_M1475_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/285/GCA_000663285.1_Myco_tube_M1475_V1,mtb
Mycobacterium tuberculosis M1481,M1481,20829,SAMN02599044,PRJNA235709,Terrabacteria group,Actinobacteria,GCA_000663305.1,4.42044,65.5,-,JKMU01,5,4269,4086,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/305/GCF_000663305.1_Myco_tube_M1481_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/305/GCA_000663305.1_Myco_tube_M1481_V1,mtb
Mycobacterium tuberculosis M1488,M1488,20829,SAMN02599045,PRJNA235710,Terrabacteria group,Actinobacteria,GCA_000663325.1,4.42403,65.6,-,JKMT01,11,4311,4101,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/325/GCF_000663325.1_Myco_tube_M1488_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/325/GCA_000663325.1_Myco_tube_M1488_V1,mtb
Mycobacterium tuberculosis M1520,M1520,20829,SAMN02599046,PRJNA235711,Terrabacteria group,Actinobacteria,GCA_000663345.1,4.44712,65.4,-,JKMS01,6,4291,4091,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/345/GCF_000663345.1_Myco_tube_M1520_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/345/GCA_000663345.1_Myco_tube_M1520_V1,mtb
Mycobacterium tuberculosis M1533,M1533,20829,SAMN02599047,PRJNA235712,Terrabacteria group,Actinobacteria,GCA_000663365.1,4.41823,65.6,-,JKMR01,8,4283,4098,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/365/GCF_000663365.1_Myco_tube_M1533_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/365/GCA_000663365.1_Myco_tube_M1533_V1,mtb
Mycobacterium tuberculosis M1545,M1545,20829,SAMN02599048,PRJNA235713,Terrabacteria group,Actinobacteria,GCA_000663385.1,4.43156,65.5,-,JKMQ01,4,4296,4098,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/385/GCF_000663385.1_Myco_tube_M1545_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/385/GCA_000663385.1_Myco_tube_M1545_V1,mtb
Mycobacterium tuberculosis M1559,M1559,20829,SAMN02599049,PRJNA235714,Terrabacteria group,Actinobacteria,GCA_000663405.1,4.418740000000001,65.6,-,JKMP01,78,4339,4117,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/405/GCF_000663405.1_Myco_tube_M1559_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/405/GCA_000663405.1_Myco_tube_M1559_V1,mtb
Mycobacterium tuberculosis M1560,M1560,20829,SAMN02599050,PRJNA235715,Terrabacteria group,Actinobacteria,GCA_000663425.1,4.43093,65.6,-,JKMO01,82,4321,4114,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/425/GCF_000663425.1_Myco_tube_M1560_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/425/GCA_000663425.1_Myco_tube_M1560_V1,mtb
Mycobacterium tuberculosis M1570,M1570,20829,SAMN02599051,PRJNA235716,Terrabacteria group,Actinobacteria,GCA_000663445.1,4.43898,65.6,-,JKMN01,67,4334,4126,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/445/GCF_000663445.1_Myco_tube_M1570_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/445/GCA_000663445.1_Myco_tube_M1570_V1,mtb
Mycobacterium tuberculosis M1615,M1615,20829,SAMN02599052,PRJNA235717,Terrabacteria group,Actinobacteria,GCA_000663465.1,4.39125,65.6,-,JKMM01,82,4332,4111,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/465/GCF_000663465.1_Myco_tube_M1615_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/465/GCA_000663465.1_Myco_tube_M1615_V1,mtb
Mycobacterium tuberculosis M1638,M1638,20829,SAMN02599053,PRJNA235718,Terrabacteria group,Actinobacteria,GCA_000663485.1,4.414630000000001,65.6,-,JKML01,86,4331,4104,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/485/GCF_000663485.1_Myco_tube_M1638_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/485/GCA_000663485.1_Myco_tube_M1638_V1,mtb
Mycobacterium tuberculosis M1702,M1702,20829,SAMN02599054,PRJNA235719,Terrabacteria group,Actinobacteria,GCA_000663505.1,4.41156,65.6,-,JKMK01,82,4338,4105,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/505/GCF_000663505.1_Myco_tube_M1702_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/505/GCA_000663505.1_Myco_tube_M1702_V1,mtb
Mycobacterium tuberculosis M1703,M1703,20829,SAMN02599055,PRJNA235720,Terrabacteria group,Actinobacteria,GCA_000663525.1,4.435309999999999,65.6,-,JKMJ01,78,4356,4121,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/525/GCF_000663525.1_Myco_tube_M1703_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/525/GCA_000663525.1_Myco_tube_M1703_V1,mtb
Mycobacterium tuberculosis M1704,M1704,20829,SAMN02599056,PRJNA235721,Terrabacteria group,Actinobacteria,GCA_000663545.1,4.40322,65.6,-,JKMI01,79,4329,4095,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/545/GCF_000663545.1_Myco_tube_M1704_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/545/GCA_000663545.1_Myco_tube_M1704_V1,mtb
Mycobacterium tuberculosis M1726,M1726,20829,SAMN02599057,PRJNA235722,Terrabacteria group,Actinobacteria,GCA_000663565.1,4.4272800000000005,65.6,-,JKMH01,72,4317,4102,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/565/GCF_000663565.1_Myco_tube_M1726_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/565/GCA_000663565.1_Myco_tube_M1726_V1,mtb
Mycobacterium tuberculosis M1728,M1728,20829,SAMN02599058,PRJNA235723,Terrabacteria group,Actinobacteria,GCA_000663585.1,4.38224,65.6,-,JKMG01,86,4316,4100,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/585/GCF_000663585.1_Myco_tube_M1728_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/585/GCA_000663585.1_Myco_tube_M1728_V1,mtb
Mycobacterium tuberculosis M1734,M1734,20829,SAMN02599059,PRJNA235724,Terrabacteria group,Actinobacteria,GCA_000663605.1,4.42416,65.6,-,JKMF01,73,4322,4110,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/605/GCF_000663605.1_Myco_tube_M1734_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/605/GCA_000663605.1_Myco_tube_M1734_V1,mtb
Mycobacterium tuberculosis M1762,M1762,20829,SAMN02599061,PRJNA235726,Terrabacteria group,Actinobacteria,GCA_000663625.1,4.38499,65.5,-,JKMD01,82,4332,4091,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/625/GCF_000663625.1_Myco_tube_M1762_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/625/GCA_000663625.1_Myco_tube_M1762_V1,mtb
Mycobacterium tuberculosis M1780,M1780,20829,SAMN02599062,PRJNA235727,Terrabacteria group,Actinobacteria,GCA_000663645.1,4.4168400000000005,65.6,-,JKMC01,81,4326,4104,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/645/GCF_000663645.1_Myco_tube_M1780_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/645/GCA_000663645.1_Myco_tube_M1780_V1,mtb
Mycobacterium tuberculosis M1787,M1787,20829,SAMN02599063,PRJNA235728,Terrabacteria group,Actinobacteria,GCA_000663665.1,4.41085,65.6,-,JKMB01,78,4333,4098,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/665/GCF_000663665.1_Myco_tube_M1787_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/665/GCA_000663665.1_Myco_tube_M1787_V1,mtb
Mycobacterium tuberculosis M1782,M1782,20829,SAMN02599064,PRJNA235729,Terrabacteria group,Actinobacteria,GCA_000663685.1,4.38738,65.6,-,JKMA01,77,4324,4107,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/685/GCF_000663685.1_Myco_tube_M1782_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/685/GCA_000663685.1_Myco_tube_M1782_V1,mtb
Mycobacterium tuberculosis M1816,M1816,20829,SAMN02599065,PRJNA235730,Terrabacteria group,Actinobacteria,GCA_000663705.1,4.4192800000000005,65.6,-,JKLZ01,76,4340,4120,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/705/GCF_000663705.1_Myco_tube_M1816_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/705/GCA_000663705.1_Myco_tube_M1816_V1,mtb
Mycobacterium tuberculosis M1822,M1822,20829,SAMN02599066,PRJNA235731,Terrabacteria group,Actinobacteria,GCA_000663725.1,4.38655,65.6,-,JKLY01,81,4314,4108,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/725/GCF_000663725.1_Myco_tube_M1822_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/725/GCA_000663725.1_Myco_tube_M1822_V1,mtb
Mycobacterium tuberculosis M1848,M1848,20829,SAMN02599067,PRJNA235732,Terrabacteria group,Actinobacteria,GCA_000663745.1,4.39524,65.6,-,JKLX01,85,4327,4109,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/745/GCF_000663745.1_Myco_tube_M1848_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/745/GCA_000663745.1_Myco_tube_M1848_V1,mtb
Mycobacterium tuberculosis M1893,M1893,20829,SAMN02599068,PRJNA235733,Terrabacteria group,Actinobacteria,GCA_000663765.1,4.41686,65.6,-,JKLW01,101,4337,4106,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/765/GCF_000663765.1_Myco_tube_M1893_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/765/GCA_000663765.1_Myco_tube_M1893_V1,mtb
Mycobacterium tuberculosis M1895,M1895,20829,SAMN02599069,PRJNA235734,Terrabacteria group,Actinobacteria,GCA_000663785.1,4.38976,65.6,-,JKLV01,80,4322,4108,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/785/GCF_000663785.1_Myco_tube_M1895_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/785/GCA_000663785.1_Myco_tube_M1895_V1,mtb
Mycobacterium tuberculosis M1906,M1906,20829,SAMN02599070,PRJNA235735,Terrabacteria group,Actinobacteria,GCA_000663805.1,4.4157,65.6,-,JKLU01,75,4325,4101,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/805/GCF_000663805.1_Myco_tube_M1906_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/805/GCA_000663805.1_Myco_tube_M1906_V1,mtb
Mycobacterium tuberculosis M1913,M1913,20829,SAMN02599071,PRJNA235736,Terrabacteria group,Actinobacteria,GCA_000663825.1,4.40984,65.6,-,JKLT01,75,4335,4107,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/825/GCF_000663825.1_Myco_tube_M1913_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/825/GCA_000663825.1_Myco_tube_M1913_V1,mtb
Mycobacterium tuberculosis M1914,M1914,20829,SAMN02599072,PRJNA235737,Terrabacteria group,Actinobacteria,GCA_000663845.1,4.39268,65.6,-,JKLS01,88,4339,4119,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/845/GCF_000663845.1_Myco_tube_M1914_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/845/GCA_000663845.1_Myco_tube_M1914_V1,mtb
Mycobacterium tuberculosis M1928,M1928,20829,SAMN02599074,PRJNA235739,Terrabacteria group,Actinobacteria,GCA_000663865.1,4.42615,65.6,-,JKLQ01,91,4348,4102,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/865/GCF_000663865.1_Myco_tube_M1928_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/865/GCA_000663865.1_Myco_tube_M1928_V1,mtb
Mycobacterium tuberculosis M1929,M1929,20829,SAMN02599075,PRJNA235740,Terrabacteria group,Actinobacteria,GCA_000663885.1,4.41906,65.6,-,JKLP01,73,4324,4111,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/885/GCF_000663885.1_Myco_tube_M1929_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/885/GCA_000663885.1_Myco_tube_M1929_V1,mtb
Mycobacterium tuberculosis M1932,M1932,20829,SAMN02599076,PRJNA235741,Terrabacteria group,Actinobacteria,GCA_000663905.1,4.397130000000001,65.6,-,JKLO01,81,4334,4115,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/905/GCF_000663905.1_Myco_tube_M1932_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/905/GCA_000663905.1_Myco_tube_M1932_V1,mtb
Mycobacterium tuberculosis M1948,M1948,20829,SAMN02599077,PRJNA235742,Terrabacteria group,Actinobacteria,GCA_000663925.1,4.4306,65.6,-,JKLN01,81,4334,4109,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/925/GCF_000663925.1_Myco_tube_M1948_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/925/GCA_000663925.1_Myco_tube_M1948_V1,mtb
Mycobacterium tuberculosis M1955,M1955,20829,SAMN02599078,PRJNA235743,Terrabacteria group,Actinobacteria,GCA_000663945.1,4.41062,65.6,-,JKLM01,82,4342,4109,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/945/GCF_000663945.1_Myco_tube_M1955_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/945/GCA_000663945.1_Myco_tube_M1955_V1,mtb
Mycobacterium tuberculosis M1956,M1956,20829,SAMN02599079,PRJNA235744,Terrabacteria group,Actinobacteria,GCA_000663965.1,4.38636,65.6,-,JKLL01,77,4323,4112,2014/04/29,2017/03/08,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/663/965/GCF_000663965.1_Myco_tube_M1956_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/663/965/GCA_000663965.1_Myco_tube_M1956_V1,mtb
